sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we3 060818 01,3.69,383.44,209.51,44.54,0,422.91,7172.32,0,0.91,0.16,34.36,15.65,0.35,0.84,6.03,213.38,0.23,0,10.51,0.25,0.14,33.51,0.05
we3 060818 02,2.56,533.35,73.73,44.43,0,125.57,2481.84,0,0.21,0.03,3.92,2.33,0.03,0.18,0.33,55.99,0.1,0,5.82,0.11,0.04,20.29,0.03
we3 060818 03,3.05,361.1,161.23,14.06,0,370.14,4584.3,0,0.84,0.06,24.85,9.64,0.24,0.93,5.87,189.19,0.2,0,15.39,0.23,0.09,28.2,0.02
we3 081118 01,43.77,2328.64,2049.94,119.33,480.49,1943.43,33492.56,4.49,2.44,1.8,349.93,2101.11,2.84,7.78,16.48,274.35,1.21,1,108.03,2.63,0.05,158.06,1.62
we3 081118 02,31.05,3516.22,3121.8,237.04,625.42,3162.23,60259.8,9.21,4.94,3.17,395.57,1103.19,4.64,14.43,25.43,1181.37,1.12,0.89,186.6,2.39,0.42,228.27,1.28
we3 082718 01,53.17,3364.81,1684.03,71.02,173.9,2394.76,26827.6,3.75,2.45,1.25,266.2,615.4,2.98,8.9,39.29,917.72,0.61,0,110.42,2.13,0.11,95.6,0.84
we3 082719 02,8.44,1152.77,703.61,52.93,111.06,540.02,18234.85,4.3,2.06,0.67,90.17,100.82,1.16,3.34,28.34,484.37,0.51,1.68,45.23,0.8,0.16,59.89,0.13
we2 091218 01,15.45,9947.24,960.93,31.09,294.51,7426.37,12898.02,3.31,3.95,0.94,2.67,48.88,0.33,2.96,27.44,384.52,1.95,0,71.19,1.46,0.1,25.15,0.29
we2 091218 02,12.93,3429.32,679.89,63.18,784.52,5861.01,7684.94,3.36,3.99,1.37,4.03,87.28,1.11,2.45,17.36,176.86,1.63,2.75,34.02,0.76,1.03,16.21,1.23
we2 091318 03,14.39,3457.7,828.82,27.21,869.94,6687.8,10726.64,4.89,3.98,0.65,1.04,79.51,0.32,1.42,17.98,162.87,1.29,0.94,41.92,0.58,0.01,17.13,0.09
we3 091018 01,12.68,1704.29,891.5,53.27,349.96,1395.91,19374.12,5.45,2.36,0.79,159.68,278.47,2.12,5.43,35.55,807.83,0.84,0.36,54.56,1.33,0.25,75.37,0.15
we3 091118 03,22.16,3609.84,900.83,30,287.14,1557.82,17069.61,6.06,2.33,0.94,123.4,670.34,1.33,4.62,24.87,469.22,1.39,2.39,55.5,2.83,0.09,69.81,0.3
we3 091218 04,3.86,796.15,208.8,16.64,92.66,271.15,5074.19,3.93,1.04,0.24,22.8,19.27,0.31,1.45,8.35,233.95,0.25,0.36,17.04,0.41,0.09,34.01,0.04
we3 091218 06,2.77,596.46,107.38,5.19,36.19,182.49,2616.18,3.93,0.64,0.13,4.39,5.92,0.02,0.48,3.95,95.02,0.2,1.35,6.79,0.23,0.05,17.29,0.03
we3 091218 07,4.22,728.35,287.39,15.67,77.05,189.9,7005.28,3.93,1.01,0.24,12.86,25.94,0.15,1.12,10.22,203.62,0.37,2.39,19.76,0.67,0.05,30.61,0.03
we3 091218 08,3.49,748.37,125.36,5.59,62.45,137.71,2714.82,5.42,0.52,0.19,0.09,4.55,0.01,0.41,4.11,107.67,0.1,0.36,8.6,0.19,0.06,17.77,0.01
we3 091218 09,4.97,805.8,234.94,21.01,107.09,190.75,5295.76,3.93,0.88,0.22,0.63,7.92,0.03,0.84,8.1,172.64,0.23,0.36,18.2,0.39,0.03,29.46,0
we3 091218 10,1.8,240.36,92.83,10.31,34,21.05,2817.75,4.67,0.49,0.19,0.71,5.74,0.02,0.6,4.24,119.13,0.18,1.3,6.92,0.3,0.05,34.87,0.01
we3 091218 12,0.51,148.88,33.7,6.25,24.4,43.71,993.09,3.93,0.11,0.07,1.38,2.71,0.02,0.08,1.53,46.97,0.13,0.36,1.3,0.05,0.02,6.45,0
we3 091218 14,1.06,215.69,46.97,11.52,37.97,83.03,1199.59,3.93,0.18,0.12,1.53,1.52,0.01,0.24,2.18,83.61,0.13,0.36,4.97,0.04,0.03,8.38,0.04
we3 091218 15,1.38,313.74,58.8,5.33,25.42,0,888.78,3.93,0.19,0.1,0.34,2.66,0.01,0.19,1.67,60.3,0.18,1.42,3.17,0.05,0.04,10.39,0.03
we3 091218 16,1.16,266.88,69.65,0,31.6,79.48,1871.91,3.93,0.3,0.09,0.41,1.28,0.01,0.26,1.97,97.98,0.23,0.36,6.41,0.07,0.02,15.88,0.01
we3 091318 17,0.63,181.7,36.37,0.33,58.64,42.92,951.97,4.71,0.13,0.04,2.61,4.68,0.04,0.06,2.2,52.3,0,0.36,2.42,0.04,0.01,7.72,0.02
we3 091318 18,0.61,207.83,48.04,11.27,31.17,0.76,636.1,3.93,0.18,0.11,2.99,6.62,0.05,0.17,3.19,63.81,0.08,0.36,1.23,0.08,0.05,9.24,0.03
we3 091518 01,3.94,440.22,130.42,10.95,53.4,207.59,3575.8,3.93,0.64,0.17,9.7,6.5,0.13,0.45,5.09,114.95,0.25,0.36,10.31,0.48,0.05,30.44,0.03
we3 091618 02,0.24,97.38,23.55,0,38.27,11.99,992.97,4.73,0.03,0.12,1.77,1.59,0.01,0.17,1.1,35.01,0.08,1.4,2.1,0.03,0.03,7.68,0
we3 091618 03,0,46.29,18.22,0.6,27.76,0,766.99,3.93,0.06,0.05,0.55,0.25,0.02,0,0.98,36.33,0.13,0.36,1.6,0.01,0.05,7.01,0
we3 091618 04,0,114.94,22.84,10.87,41.64,19.7,499.86,3.93,0.05,0.12,0.8,0.57,0,0.14,0.57,36.74,0.07,0.36,1.29,0.01,0.01,7.2,0.01
we3 091618 05,1.54,375.98,54.11,5.52,34.07,0,1669.83,3.93,0.17,0.11,2.13,2.16,0.03,0.11,0.85,49.85,0.14,0.36,3.48,0.06,0.02,15.36,0
we3 091618 06,0.99,265.21,45.99,10.89,0,0,1050.47,3.93,0.11,0.06,1.32,0.86,0.02,0.04,0.95,35.44,0.09,2.43,2,0.02,0,12.44,0.03
we3 091618 07,1.18,306.94,48.59,25.56,0.56,58.9,1513.32,3.93,0.28,0.05,1.59,0.74,0.02,0.31,1.06,48.79,0.02,1.37,3.74,0.04,0.01,15.38,0.01
we2 091318 04,18.71,7345.7,1031.82,84.77,621.97,10613.96,13845.74,15.12,4.35,0.66,3.86,121.98,0.56,1.69,26.2,104.39,1.91,0.36,53.04,0.84,0.04,27.08,0.09
we2 091618 01,18.96,6584.78,788.36,47.09,546.16,6641.43,14358.71,9.1,4.66,0.67,0.79,73.05,0.27,1.84,27.07,89.97,1.94,1.41,61.53,0.95,0.05,23.48,0.12
we2 091618 02,14.79,5284.22,809.58,78.3,566.8,7066.56,10606.78,8.43,3.93,0.58,0.68,67.61,0.31,1.8,22.44,118.98,1.38,0.36,45.68,0.59,0.04,21.48,0.05
we2 091618 03,16.12,6927.44,683.86,41.63,310.45,6234.79,10487.51,8.08,4.24,0.61,0.52,69.91,0.27,1.54,24.2,93.16,1.57,0.36,44.17,0.68,0.02,16.13,0.09
we3 092218 01,21.25,3240.47,918.09,15.06,45.82,1369.37,25393.67,3.93,0.51,0.58,36.13,53.2,0.45,3.77,31.46,588.48,0.4,0.36,55.47,2.23,0.23,168.86,0.13
we3 092218 02,8.2,1267.52,292.44,6.17,23.49,596.62,7005.25,7.2,0.31,0.23,27.7,15.17,0.3,1.01,5.82,182.78,0.22,2.22,14.35,0.44,0.07,49.57,0.13
we3 100518 01,2.65,86.92,35.09,10.03,0,0,1663.57,3.93,0.12,0.09,1.71,0.77,0.02,0.19,1.26,64.2,0.05,0.36,3.75,0.05,0.02,16.78,0.02
we3 100518 02,0.18,99.89,31.92,0,12.35,33.35,1322.06,3.93,0.09,0.12,1.81,0.37,0.03,0.45,0.99,52.53,0.25,2.47,2.48,0.02,0.03,9.09,0.01
we3 100518 03,1.03,259.07,39.21,0.37,31.22,37.41,849.28,3.93,0.14,0.12,2.81,6.38,0.02,0.15,0.62,54.85,0.2,1.38,2.36,0.04,0.03,11,0.05
we3 100518 05,1.32,208.9,49.9,6.4,13.49,150.88,1662.72,3.93,0.17,0.12,1.01,2.05,0.03,0.04,0.64,73.88,0.23,0.36,3.2,0.08,0.05,14.37,0.02
we3 100518 06,1.2,206.84,51.98,0.59,68.9,145.11,1996.9,3.93,0.13,0.13,2.03,0.98,0.04,0.15,0.89,78.53,0.29,0.36,5.64,0.12,0.03,14.19,0.01
we3 100518 07,0.46,192.58,36.11,21.84,80.75,68.17,959.99,3.93,0.13,0.12,0.31,0.93,0.02,0.16,0.66,49.14,0.3,0.36,1.84,0.09,0.05,10.13,0.03
we3 100518 08,0.38,250.25,57.06,11.74,46.71,1396.39,1401.95,3.93,0.45,0.36,1.73,2.84,0.23,0.47,1.37,63.46,0.32,1.45,5.34,0.07,0.27,12.36,0.23
we3 100518 09,1.24,326.91,67.76,0,2.74,120.3,1891.89,4.73,0.34,0.07,2.42,1.87,0.04,0.11,1.64,69.86,0.07,0.36,3.66,0.12,0.04,13.57,0.02
we3 100518 10,1.06,439.49,107.24,0.7,13.72,205.06,2695.36,4.71,0.26,0.12,0.51,3.98,0.02,0.43,2.19,100.85,0.09,0.36,6.42,0.15,0.06,17.27,0.03
we3 100518 11,4.96,1529.86,304.28,5.68,1.93,421.36,5192.97,3.93,0.38,0.26,11.92,6.12,0.13,0.65,6.15,142.67,0.19,0.36,15.37,0.38,0.11,31.6,0.06
we3 100518 12,22.54,6440.25,1157.3,11.53,108.15,1426.78,15270.72,4.75,0.51,0.4,59.23,43.95,0.59,3.5,24.93,435.92,0.45,1.4,53.47,1.6,0.17,108.53,0.13
we2 100518 01,22.25,5363.42,838.03,31.52,190.17,7715.11,12323.22,5.49,1.82,0.99,163.04,25.94,1,1.47,10.52,504.8,1.51,0.36,61.78,0.48,0.05,30.06,0.45
we2 100518 02,13.55,6351.89,742.07,34.77,253.32,5422.32,10220.63,5.58,3.13,0.51,15.04,30.29,0.24,1.35,15.91,186.2,1.01,1.43,42.49,0.57,0.02,17.58,0.09
we2 100518 03,15.91,4869.05,711.08,25.66,339.54,5134.2,8596.74,7.5,2.83,0.46,1.02,35.38,0.2,0.94,13.27,105.21,1.22,0.36,33.64,0.53,0.02,13.91,0.05
we2 100518 04,8.62,4789.06,632.43,56.48,367.5,3992.56,7213.84,6.48,2.62,0.38,0.9,36.33,0.2,0.9,14.04,86.28,1.26,3.43,33.24,0.74,0.02,13.32,0.03
we2 100518 05,7.52,5445.62,588.85,82.52,278.54,4456.16,8522.4,6.99,3.04,0.47,2.15,48.53,0.18,1.08,16.82,66.58,1.12,2.51,37.75,0.53,0.05,13.95,0.04
we2 100518 06,6.78,6042.76,560.84,25.18,191.25,5043.9,7988.96,10.89,3.14,0.36,0.75,52.23,0.2,0.93,16.08,57.65,1,1.41,31.41,0.53,0.03,14.21,0.02
we2 100518 07,6.84,5961.5,514.76,61.93,211.39,5268.56,7405.16,8.78,3.07,0.5,1.17,52.39,0.27,0.95,16.66,77.44,0.97,0.36,29.78,0.38,0.11,12.74,0.17
we2 100518 08,9.57,5690.69,500.8,49.32,271.93,5057.12,6973.43,7.11,3.66,0.42,0.57,45.8,0.22,1.1,16.18,73.96,1.31,1.43,29.6,0.45,0.1,14.21,0.09
we3 100718 01,3.620744432,523.2503154,108.8442127,0,32.95717804,0,3586.301512,0,0.321407786,0.06884913,3.824995965,2.142295746,0.028141558,0.380869422,3.592571171,132.247516,0.094900486,0,5.820049105,0.177881498,0.02958774,33.66380273,0.03039565
we3 100718 03,5.370665938,158.8127316,49.24197801,13.04064704,35.33857703,0,2764.280152,0,0.194995262,0,2.241628011,2.016891654,0.053336926,0.011733582,3.330312922,89.13068401,0.589201771,0.868354471,4.014200406,0.108224225,0.018705252,30.53407789,0.035942711
we3 100818 03,5.27359907,169.0455025,53.80669018,1.435795542,26.77659283,0,3239.352099,0,0.213966657,0.071927934,3.715731315,1.894645504,0.040539723,0.023716989,3.766022051,96.3657088,0.558854186,0,3.5525961,0.091027404,0.041105192,30.00841555,0.038731395
