sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we3 022219 01,3.059924637,758.8749129,99.48771118,0,23.42033501,46.0265815,1306.249797,0,0.056213286,0.008641344,0.618889902,1.582043318,0.154353415,0.564694377,1.232978156,69.47088274,0.057562377,0,3.032823921,0.112839826,0.012820261,12.77509204,0.053356342
we2 021219 07,4.667490754,838.6532451,401.4731489,8.691095105,241.4042056,559.0496537,8134.529678,0.326847737,1.545985275,0.126920174,0.212914883,13.16536504,0.026308904,0.358039859,2.525491516,17.03170349,0.347877059,0,30.12887838,0.145848512,0,6.564489704,0.081683931
we3 030819 01,1.159163934,210.10583,41.95309256,0,18.14365843,79.38568802,816.8005446,0.006621363,0.058924897,0,0.177172825,2.36494555,0.064350848,0.779518362,0.639721388,38.05286796,0.033962875,0.703846558,0.204585256,0.077485291,0,7.840696935,0.065296231
we3 022419 02,0,246.8356084,32.35719466,0,0,59.53547893,1120.64293,0,0.049345255,0.211328976,0.095131362,3.429884139,0.008344525,0.227986002,0.405652029,43.17319635,0.296217825,0,1.411104696,0.051331552,0.010671464,6.287927535,0.023204914
we2 022019 01,1.326633338,992.3250521,649.2884,8.632244779,86.88985661,913.9615562,12358.83274,0.3950015,1.851997563,0.414142446,0.364477573,14.2478512,0.268647594,0.459946472,3.16805153,12.3974857,0.481838567,0,41.04816936,0.095038424,0.015424927,11.07787529,0.060363411
we2 021219 08,0,919.5458291,432.8134473,18.13519433,100.2498751,696.7914494,9053.616285,0.974844897,1.749337345,0.175498937,0.479672276,13.70566799,0.093215907,0.233637248,2.801516303,20.50572172,0.415874732,0.720724029,31.79819131,0.109575822,0.005190821,7.619769267,0.094264825
we2 031219 01,3.857754709,1069.233953,440.8444496,31.03310028,74.33801754,671.1193108,9248.312147,0.752138165,2.609213207,0.198391605,0.401179507,17.03268677,0.088621177,0.989643393,4.246927779,12.51795657,0.45006129,0,29.61263022,0.152765838,0.008255863,7.810470844,0.028493394
we3 021919 01,0,376.9007353,56.38770189,0,26.20974352,104.1477529,1589.291296,0,0.101838265,0.045487538,0.191588217,2.136877877,0.180967178,0.459706891,1.483766088,53.90238259,0.020531742,0,2.434556078,0.106197056,0.007873048,9.683910002,0.132838831
we3 021419 01,0,145.6219691,21.59698958,0,29.65443129,40.93195797,877.5125789,0,0.05430642,0.192175832,0.445756804,2.263588766,3.568834991,0.079324094,0.629734581,31.9855766,0.023582469,2.297976864,1.140089387,0.062166353,0,7.512619329,0.094828763
we3 021119 03,0,393.264845,63.54334785,2.159058855,30.94399361,116.1993649,1540.50243,0,0.033333469,0.042552852,0.284828052,2.512003694,0.025785612,0.081973764,0.242415781,47.36181291,0.060688718,0,2.173832866,0.0823522,0.018203286,10.48309173,0.021330241
we2 012319 02,5.152159144,1188.399022,691.876231,14.43672309,82.06646621,1047.462739,12199.31796,0.208413376,2.197828935,0.086244817,0.136761149,14.76700936,0.03769454,0.340671736,3.322542248,8.227411129,0.411850279,0,52.00188565,0.147976187,0.013864145,10.20881044,0.057430299
we2 020919 01,1.023511036,989.3054053,463.1929529,3.988818914,97.17991062,656.067116,8544.559961,0.543554839,1.761032147,0.149127581,0,16.62138983,0.072865979,0.599093507,3.125230636,8.321868574,0.2889351,0,33.87652876,0.307755078,0,7.874704339,0.03712662
we3 021119 04,0,242.5526422,38.0144106,0,17.98478645,27.82657524,796.6249173,0,0.01960754,0,0.002837091,1.531241626,0.001559308,0.032275371,0.153060096,34.22249799,0.008378668,0,2.471162205,0.081171613,0,5.413561133,0.01536842
we2 012019 01,7.830133163,1260.920576,625.8660495,19.18072084,157.4951183,960.1829362,12350.01401,0.390237323,2.102490091,0.087004652,0.143972156,16.0638132,0.045424736,0.26912389,3.601234899,8.925765798,0.420200608,0.694554711,44.45307941,0.156244182,0.010346165,10.29438964,0.170263044
we3 012019 01,0,172.7068902,26.80448224,0,12.43875194,14.64344823,879.6553101,0,0.02799942,0.141533215,0,1.483387987,0.006403944,0.060391849,0.128348918,30.50999774,0.035250632,0,1.408428642,0.034688027,0,5.57698877,0.004942753
we2 011819 01,0.590503112,1248.10799,456.0584853,8.197901717,48.4401056,890.043525,8205.323754,0.006159652,2.153053502,0.137901509,0.459672496,20.81597339,0.059511515,0.253927231,4.18074593,19.46586467,0.478951807,0,31.91394642,0.158663234,0.005420342,8.092181744,0.06683065
we2 021119 02,6.696972761,1078.600525,483.6660818,11.05354044,96.8578808,614.3412014,9493.492581,0.336773651,1.598903315,0.1650333,0.13513044,16.90726433,0.050174165,0.20973119,4.138003176,17.36422559,0.528163306,0,28.00848906,0.121263395,0.000199562,6.572670132,0.026772495
we3 021219 05,0,200.539443,20.1355725,0,31.73517497,81.94786821,620.4320686,0,0.0092353,0.093096874,0,1.146613825,0.014211313,0,0.072930613,22.63920868,0.037098694,0,0.299153811,0.009453524,0,3.118318996,0.000736313
we3 020519 01,0,680.837982,221.0950577,0,24.34020587,159.2179351,1408.087515,0.01512332,0.076848055,0.05217864,1.446490585,5.186072065,0.058062156,0.207722737,1.099820838,76.09165232,0.083736618,0,3.085390507,0.09163315,0.023875146,14.25602183,0.015347652
