FS data Date,FS data Time,roof,FS Sample Number,Bottle Number,date,time,sample_code
11/22/2018,1:50:00 AM,we3,4,1,11/22/2018,1:50:00 AM,we3 112218 01
11/22/2018,2:05:00 PM,we3,5,2,11/22/2018,2:05:00 PM,we3 112218 02
11/23/2018,10:25:00 AM,we3,6,3,11/23/2018,10:25:00 AM,we3 112318 03
11/27/2018,2:35:00 AM,we3,7,1,11/27/2018,2:35:00 AM,we3 112718 01
11/27/2018,6:05:00 AM,we3,8,2,11/27/2018,6:05:00 AM,we3 112718 02
11/30/2018,11:25:00 AM,we3,9,1,11/30/2018,11:25:00 AM,we3 113018 01
12/1/2018,2:15:00 AM,we3,10,2,12/1/2018,2:15:00 AM,we3 120118 02
12/9/2018,2:10:00 PM,we3,11,1,12/9/2018,2:10:00 PM,we3 120918 01
12/11/2018,2:55:00 AM,we3,12,2,12/11/2018,2:55:00 AM,we3 121118 02
12/11/2018,4:10:00 PM,we3,13,1,12/11/2018,4:10:00 PM,we3 121118 01
12/17/2018,3:30:00 AM,we3,14,1,12/17/2018,3:30:00 AM,we3 121718 01
12/17/2018,10:20:00 PM,we3,15,2,12/17/2018,10:20:00 PM,we3 121718 02
12/18/2018,4:20:00 AM,we3,16,3,12/18/2018,4:20:00 AM,we3 121818 03
12/18/2018,7:00:00 AM,we3,17,4,12/18/2018,7:00:00 AM,we3 121818 04
12/22/2018,5:50:00 PM,we3,18,1,12/22/2018,5:50:00 PM,we3 122218 01
12/22/2018,8:40:00 PM,we3,19,2,12/22/2018,8:40:00 PM,we3 122218 02
12/23/2018,7:00:00 AM,we3,20,3,12/23/2018,7:00:00 AM,we3 122318 03
12/29/2018,6:35:00 PM,we3,22,2,12/29/2018,6:35:00 PM,we3 122918 02
12/29/2018,8:55:00 PM,we3,23,3,12/29/2018,8:55:00 PM,we3 122918 03
1/6/2019,3:30:00 AM,we3,24,1,1/6/2019,3:30:00 AM,we3 010619 01
1/8/2019,5:25:00 AM,we3,25,2,1/8/2019,5:25:00 AM,we3 010819 02
1/9/2019,9:42:00 PM,we3,26,3,1/9/2019,9:42:00 PM,we3 010919 03
1/9/2019,9:53:00 PM,we3,27,4,1/9/2019,9:53:00 PM,we3 010919 04
1/16/2019,7:30:00 PM,we3,29,2,1/16/2019,7:30:00 PM,we3 011619 02
1/18/2019,4:20:00 PM,we3,32,1,1/18/2019,4:20:00 PM,we3 011819 01
1/18/2019,6:05:00 PM,we3,33,2,1/18/2019,6:05:00 PM,we3 011819 02
1/18/2019,9:20:00 PM,we3,34,3,1/18/2019,9:20:00 PM,we3 011819 03
1/20/2019,11:30:00 AM,we3,35,1,1/20/2019,11:30:00 AM,we3 012019 01
2/5/2019,2:35:00 PM,we3,37,1,2/5/2019,2:35:00 PM,we3 020519 01
2/9/2019,4:45:00 PM,we3,38,1,2/9/2019,4:45:00 PM,we3 020919 01
2/11/2019,7:10:00 AM,we3,39,2,2/11/2019,7:10:00 AM,we3 021119 02
