"","storm_id","pollutant","roof","p_mg_m2"
"267",8,"cd","eco",3.29398746986704e-05
"268",8,"co","con",0
"269",8,"co","eco",0.000807842138176792
"270",8,"cr","con",0
"271",8,"cr","eco",0.000789706778396267
"272",8,"cu","con",0
"273",8,"cu","eco",0
"274",8,"fe","con",0.00150299909144827
"275",8,"fe","eco",0.195287349462969
"276",8,"mg","con",0.337347873320165
"277",8,"mg","eco",4.0586335650586
"278",8,"mn","con",0.00235197369536472
"279",8,"mn","eco",0.00046263549316761
"280",8,"mo","con",0.000420330165838637
"281",8,"mo","eco",0.00116512817305059
"282",8,"na","con",1.02696410639269
"283",8,"na","eco",14.4722501251697
"284",8,"ni","con",0
"285",8,"ni","eco",0
"286",8,"no3","con",0.0557280523819604
"287",8,"no3","eco",0
"288",8,"pb","con",0
"289",8,"pb","eco",0
"290",8,"po4","con",0.0793643705792669
"291",8,"po4","eco",0
"292",8,"sr","con",0.0217202746921471
"293",8,"sr","eco",0.347384564468838
"294",8,"ti","con",0
"295",8,"ti","eco",0.0107215489830304
"296",8,"v","con",5.6899406080142e-05
"297",8,"v","eco",0.0153970683636495
"298",8,"zn","con",0.307672946084336
"299",8,"zn","eco",0.00954418407152445
"300",9,"al","con",0
"301",9,"al","eco",0.227729617498802
"302",9,"as","con",0
"303",9,"as","eco",0.00367752193033088
"304",9,"b","con",0.0034002594560234
"305",9,"b","eco",0.039116225270113
"306",9,"ba","con",0.266949010390751
"307",9,"ba","eco",0.102604453799746
"308",9,"cd","con",0
"309",9,"cd","eco",0
"310",9,"co","con",5.82671478522133e-05
"311",9,"co","eco",0.000830221642924404
"312",9,"cr","con",0
"313",9,"cr","eco",0.00086996883896192
"314",9,"cu","con",0
"315",9,"cu","eco",0
"316",9,"fe","con",0.0408083043984688
"317",9,"fe","eco",0.257676599129223
"318",9,"mg","con",0.705926158598585
"319",9,"mg","eco",6.09198968862423
"320",9,"mn","con",0.00119720627619067
"321",9,"mn","eco",0
"322",9,"mo","con",0.00173168956380221
"323",9,"mo","eco",0.000911834134370128
"324",9,"na","con",2.5801625205177
"325",9,"na","eco",21.2710266854892
"326",9,"ni","con",0
"327",9,"ni","eco",0
"328",9,"no3","con",1.31033194901129
"329",9,"no3","eco",0.111515089953787
"330",9,"pb","con",0
"331",9,"pb","eco",0
"332",9,"po4","con",0.0449243941172895
"333",9,"po4","eco",0.266039619555927
"334",9,"sr","con",0.0328251109901175
"335",9,"sr","eco",0.345392061160941
"336",9,"ti","con",0
"337",9,"ti","eco",0
"338",9,"v","con",0.000657699469816466
"339",9,"v","eco",0.0175014649197486
"340",9,"zn","con",0.413690723855853
"341",9,"zn","eco",0
"342",10,"al","con",0.150921066747214
"343",10,"al","eco",0.260112420068139
"344",10,"as","con",0
"345",10,"as","eco",0.00598003644950788
"346",10,"b","con",0
"347",10,"b","eco",0.0217326477019405
"348",10,"ba","con",0.116048321633423
"349",10,"ba","eco",0.0784356696169047
"350",10,"cd","con",0
"351",10,"cd","eco",0
"352",10,"co","con",2.07518277252094e-05
"353",10,"co","eco",0.00102962747207696
"354",10,"cr","con",0.000306120148210968
"355",10,"cr","eco",0.00182028049658362
"356",10,"cu","con",0
"357",10,"cu","eco",0
"358",10,"fe","con",0.0100303809845567
"359",10,"fe","eco",0.248274804991019
"360",10,"mg","con",0.242604901672002
"361",10,"mg","eco",5.32316828134244
"362",10,"mn","con",0.0191467673257811
"363",10,"mn","eco",0.00455187473723965
"364",10,"mo","con",0.000561231624135756
"365",10,"mo","eco",0.00130489186034296
"366",10,"na","con",0.728426838227847
"367",10,"na","eco",17.8420606203381
"368",10,"ni","con",0
"369",10,"ni","eco",0
"370",10,"no3","con",0
"371",10,"no3","eco",0.0743677794493092
"372",10,"pb","con",0
"373",10,"pb","eco",0
"374",10,"po4","con",0.461502512037182
"375",10,"po4","eco",0.327240002913414
"376",10,"sr","con",0.0320809360072362
"377",10,"sr","eco",0.36185479485167
"378",10,"ti","con",5.31774357246597e-05
"379",10,"ti","eco",0.0180051643120173
"380",10,"v","con",0.000988385419580463
"381",10,"v","eco",0.0201876070717206
"382",10,"zn","con",0.359204053805403
"383",10,"zn","eco",0.000258459666546857
"384",11,"al","con",0
"385",11,"as","con",0.000263266953818258
"386",11,"b","con",0
"387",11,"ba","con",0.0389589058774275
"388",11,"cd","con",0
"389",11,"co","con",7.8700249590712e-05
"390",11,"cr","con",4.46486562848185e-05
"391",11,"cu","con",0
"392",11,"fe","con",0.00401309495428598
"393",11,"mg","con",0.185928277712677
"394",11,"mn","con",0.00609107975251566
"395",11,"mo","con",0.000177311518535048
"396",11,"na","con",1.49647936366217
"397",11,"ni","con",0
"398",11,"no3","con",0
"399",11,"pb","con",0
"400",11,"po4","con",0
"401",11,"sr","con",0.00937179277552436
"402",11,"ti","con",0
"403",11,"v","con",9.05551996408117e-05
"404",11,"zn","con",0.138562802473431
"405",12,"al","con",0.0252625324520517
"406",12,"al","eco",0.97169382888595
"407",12,"as","con",0
"408",12,"as","eco",0.0124098885509712
"409",12,"b","con",0
"410",12,"b","eco",0.0377628932967171
"411",12,"ba","con",0.0786231581783077
"412",12,"ba","eco",0.17158193403878
"413",12,"cd","con",0
"414",12,"cd","eco",0
"415",12,"co","con",0
"416",12,"co","eco",0.000704684564770323
"417",12,"cr","con",0
"418",12,"cr","eco",0
"419",12,"cu","con",0
"420",12,"cu","eco",0.000274849125080632
"421",12,"fe","con",0
"422",12,"fe","eco",0.443148440246888
"423",12,"mg","con",0.127312329731604
"424",12,"mg","eco",8.94343253129391
"425",12,"mn","con",0
"426",12,"mn","eco",0.00328555896281004
"427",12,"mo","con",0
"428",12,"mo","eco",0.00350326346541144
"429",12,"na","con",0
"430",12,"na","eco",30.7660364466904
"431",12,"ni","con",0
"432",12,"ni","eco",0
"433",12,"no3","con",0.430911523650247
"434",12,"no3","eco",0
"435",12,"pb","con",0
"436",12,"pb","eco",0
"437",12,"po4","con",0.0151285832005328
"438",12,"po4","eco",0.612740161904152
"439",12,"sr","con",0.0131749811092014
"440",12,"sr","eco",0.516661992243524
"441",12,"ti","con",0.00388882382772583
"442",12,"ti","eco",0.0277998443793483
"443",12,"v","con",0
"444",12,"v","eco",0.0322146587702422
"445",12,"zn","con",0.216712322595317
"446",12,"zn","eco",0.0647457412999756
