"","storm_id","pollutant","roof","p_mg_m2"
"516",16,"Pb","eco",0.0021
"517",16,"Se","con",0.00629
"518",16,"Se","eco",0.00814
"519",16,"Sr","con",0.0503
"520",16,"Sr","eco",1.33
"521",16,"Ti","con",0.00392
"522",16,"Ti","eco",0.0386
"523",16,"V","con",8e-04
"524",16,"V","eco",0.0631
"525",16,"Zn","con",1.02
"526",16,"Zn","eco",0.801
"527",17,"Al","con",0.493
"528",17,"Al","eco",0.549
"529",17,"As","con",0.0022
"530",17,"As","eco",0.0117
"531",17,"B","con",0.0307
"532",17,"B","eco",0.125
"533",17,"Ba","con",0.109
"534",17,"Ba","eco",0.243
"535",17,"Ca","con",16.2
"536",17,"Ca","eco",284
"537",17,"Cd","con",0.000511
"538",17,"Cd","eco",0.000281
"539",17,"Co","con",0.000736
"540",17,"Co","eco",0.00192
"541",17,"Cr","con",0.0184
"542",17,"Cr","eco",0.00743
"543",17,"Cu","con",0.00769
"544",17,"Cu","eco",0.115
"545",17,"Fe","con",0.11
"546",17,"Fe","eco",0.567
"547",17,"K","con",14.3
"548",17,"K","eco",28.5
"549",17,"Mg","con",0.598
"550",17,"Mg","eco",14.5
"551",17,"Mn","con",0.0217
"552",17,"Mn","eco",0.0174
"553",17,"Mo","con",0.00162
"554",17,"Mo","eco",0.00431
"555",17,"NH3","con",6.04
"556",17,"NH3","eco",6.94
"557",17,"NO3","con",0
"558",17,"NO3","eco",0
"559",17,"Na","con",5.32
"560",17,"Na","eco",34.5
"561",17,"Ni","con",0.0107
"562",17,"Ni","eco",0.0108
"563",17,"P","con",0.828
"564",17,"P","eco",2.76
"565",17,"PO4","con",0.273
"566",17,"PO4","eco",1.94
"567",17,"Pb","con",0.000496
"568",17,"Pb","eco",0.00156
"569",17,"Se","con",0
"570",17,"Se","eco",0
"571",17,"Sr","con",0.0166
"572",17,"Sr","eco",0.95
"573",17,"Ti","con",0.00691
"574",17,"Ti","eco",0.00921
"575",17,"V","con",0.00149
"576",17,"V","eco",0.0574
"577",17,"Zn","con",0.914
"578",17,"Zn","eco",0.362
"579",18,"Al","con",0.0225
"580",18,"Al","eco",0.195
"581",18,"As","con",0.000176
"582",18,"As","eco",0.00426
"583",18,"B","con",0.00328
"584",18,"B","eco",0.0795
"585",18,"Ba","con",0.0278
"586",18,"Ba","eco",0.104
"587",18,"Ca","con",4.39
"588",18,"Ca","eco",125
"589",18,"Cd","con",0
"590",18,"Cd","eco",0.000105
"591",18,"Co","con",0.000165
"592",18,"Co","eco",0.000461
"593",18,"Cr","con",0.00289
"594",18,"Cr","eco",0.000883
"595",18,"Cu","con",0.00501
"596",18,"Cu","eco",0.0365
"597",18,"Fe","con",0.0282
"598",18,"Fe","eco",0.163
"599",18,"K","con",2.63
"600",18,"K","eco",9.74
"601",18,"Mg","con",0.158
"602",18,"Mg","eco",6.35
"603",18,"Mn","con",0.00223
"604",18,"Mn","eco",0.00146
"605",18,"Mo","con",0.000214
"606",18,"Mo","eco",0.00159
"607",18,"Na","con",1.89
"608",18,"Na","eco",12.8
"609",18,"Ni","con",0.00258
"610",18,"Ni","eco",0.00273
"611",18,"P","con",0.192
"612",18,"P","eco",1.6
"613",18,"Pb","con",0.00247
"614",18,"Pb","eco",0.00173
"615",18,"Se","con",0
"616",18,"Se","eco",0.00705
"617",18,"Sr","con",0.00703
"618",18,"Sr","eco",0.451
"619",18,"Ti","con",0.00535
"620",18,"Ti","eco",0.00396
"621",18,"V","con",0.00014
"622",18,"V","eco",0.0213
"623",18,"Zn","con",0.152
"624",18,"Zn","eco",0.0906
"625",19,"Al","con",0
"626",19,"Al","eco",0.137
"627",19,"As","con",0.00183
"628",19,"As","eco",0.00521
"629",19,"B","con",0
"630",19,"B","eco",0.0459
"631",19,"Ba","con",0.407
"632",19,"Ba","eco",0.134
"633",19,"Ca","con",51.2
"634",19,"Ca","eco",154
"635",19,"Cd","con",0.000444
"636",19,"Cd","eco",0.000103
"637",19,"Co","con",0.00335
"638",19,"Co","eco",0.000821
"639",19,"Cr","con",0.00115
"640",19,"Cr","eco",0.00175
"641",19,"Cu","con",0.0308
"642",19,"Cu","eco",0.0479
"643",19,"Fe","con",0.115
"644",19,"Fe","eco",0.233
"645",19,"K","con",3.85
"646",19,"K","eco",12.7
"647",19,"Mg","con",4.47
"648",19,"Mg","eco",8.58
"649",19,"Mn","con",0.0327
"650",19,"Mn","eco",0.00102
"651",19,"Mo","con",0.00366
"652",19,"Mo","eco",0.00339
"653",19,"NH3","con",15.5
"654",19,"NO3","con",12.4
"655",19,"Na","con",15.2
"656",19,"Na","eco",16.2
"657",19,"Ni","con",0.00671
"658",19,"Ni","eco",0.00698
"659",19,"P","con",2.62
"660",19,"P","eco",1.33
"661",19,"PO4","con",0.772
"662",19,"Pb","con",0.00101
"663",19,"Pb","eco",0.000702
"664",19,"Se","con",0.00928
"665",19,"Se","eco",0
"666",19,"Sr","con",0.0899
"667",19,"Sr","eco",0.638
"668",19,"Ti","con",0.000193
"669",19,"Ti","eco",0.00559
"670",19,"V","con",0.00259
"671",19,"V","eco",0.0294
"672",19,"Zn","con",1.97
"673",19,"Zn","eco",0.123
"674",20,"Al","con",0.0172
"675",20,"Al","eco",0.878
"676",20,"As","con",0.00101
"677",20,"As","eco",0.0256
